ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"13THERAPEUTICS, INC.",PORTLAND,OR,UNITED STATES,3,"$1,337,224"
"20/20 GENESYSTEMS, INC.",ROCKVILLE,MD,UNITED STATES,1,"$332,174"
"2B TECHNOLOGIES, INC.",Boulder,CO,UNITED STATES,1,"$98,622"
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,CARY,NC,UNITED STATES,5,"$2,071,176"
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,CARY,NC,UNITED STATES,3,"$1,142,057"
"3D IMAGING, LLC",MAUMELLE,AR,UNITED STATES,1,"$103,870"
"3RD MILLENNIUM, INC",WALTHAM,MA,UNITED STATES,1,"$274,323"
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,UNITED STATES,1,"$205,541"
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,11,"$5,795,990"
"ABD BIOQUEST, INC.",SUNNYVALE,CA,UNITED STATES,1,"$100,000"
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,2,"$864,009"
"ABLELINK TECHNOLOGIES, INC.",COLORADO SPRINGS,CO,UNITED STATES,1,"$374,420"
"ABOUT WEB, LLC",ROCKVILLE,MD,UNITED STATES,1,"$25,000"
"ABOVE FITNESS PRODUCTS, LTD",Springboro,OH,UNITED STATES,1,"$172,096"
"ABT ASSOCIATES, INC.",CAMBRIDGE,MA,UNITED STATES,2,"$387,734"
"ACADEMIC EDGE, INC.",BLOOMINGTON,IN,UNITED STATES,1,"$100,000"
"ACADEMIC EDGE, INC.",BLOOMINGTON,IN,UNITED STATES,2,"$751,315"
ACADEMY FOR EDUCATIONAL DEVELOPMENT,WASHINGTON,DC,UNITED STATES,2,"$2,873,790"
ACADEMY OF SCIENCES OF CZECH REPUBLIC,PRAGUE 4,,CZECH REPUBLIC,1,"$51,202"
"ACCACIA INTERNATIONAL, INC.",AUSTIN,TX,UNITED STATES,1,"$676,625"
"ACCENT MEDIA PRODUCTION, INC.",MC LEAN,VA,UNITED STATES,1,"$5,000"
"ACCENTS ON HEALTH, INC.",SAN DIEGO,CA,UNITED STATES,1,"$99,979"
ACCESS DUPAGE,CAROL STREAM,IL,UNITED STATES,1,"$27,000"
"ACCIUM BIOSCIENCES, INC.",SEATTLE,WA,UNITED STATES,1,"$102,900"
"ACELOT, INC.",SANTA BARBARA,CA,UNITED STATES,1,"$518,950"
"ACETAMINOPHEN TOXICITY DIAGNOSTICS, LLC",LITTLE ROCK,AR,UNITED STATES,1,"$199,751"
"ACHAOGEN, INC.",SOUTH SAN FRANCISCO,CA,UNITED STATES,1,"$11,330,516"
"ACME EXPRESS, INC.",CLEVELAND,OH,UNITED STATES,1,"$98,044"
"ACOUSTIC MEDSYSTEMS, INC.",CHAMPAIGN,IL,UNITED STATES,2,"$299,948"
"ACTIVE SPECTRUM, INC.",SAN CARLOS,CA,UNITED STATES,1,"$94,090"
"ACTUATED MEDICAL, INC.",Bellefonte,PA,UNITED STATES,1,"$100,000"
ACULIGHT CORPORATION,BOTHELL,WA,UNITED STATES,3,"$770,327"
"ACUMEN, LLC",BURLINGAME,CA,UNITED STATES,0,"$428,202"
"ADA TECHNOLOGIES, INC.",LITTLETON,CO,UNITED STATES,4,"$1,162,635"
