ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"23ANDME, INC.",MOUNTAIN VIEW,CA,UNITED STATES,1,"$241,905"
"2B TECHNOLOGIES, INC.",BOULDER,CO,UNITED STATES,1,"$149,492"
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,DURHAM,NC,UNITED STATES,4,"$1,863,426"
"3DT HOLDINGS, LLC",SAN DIEGO,CA,UNITED STATES,4,"$2,282,066"
"3P BIOTECHNOLOGIES, INC.",PROSPECT,KY,UNITED STATES,1,"$719,680"
"480 BIOMEDICAL, INC.",WATERTOWN,MA,UNITED STATES,1,"$945,564"
"490 BIOTECH, INC.",KNOXVILLE,TN,UNITED STATES,2,"$1,018,818"
"A AND G PHARMACEUTICAL, INC.",COLUMBIA,MD,UNITED STATES,2,"$1,307,315"
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,UNITED STATES,1,"$384,317"
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,7,"$4,096,656"
"AAVOGEN, INC.",ROCKVILLE,MD,UNITED STATES,1,"$1,206,955"
"ABCAM, INC.",CAMBRIDGE,MA,UNITED STATES,1,"$195,000"
"ABCOMBI BIOSCIENCES, INC.",AMHERST,NY,UNITED STATES,1,"$49,900"
ABEOME CORPORATION,ATHENS,GA,UNITED STATES,1,"$672,880"
"ABLELINK TECHNOLOGIES, INC.",COLORADO SPRINGS,CO,UNITED STATES,1,"$132,454"
"ABREOS BIOSCIENCES, INC.",SAN DIEGO,CA,UNITED STATES,2,"$983,979"
"ABT MOLECULAR IMAGING, INC.",LOUISVILLE,TN,UNITED STATES,1,"$711,781"
"ABVIRO, LLC",BETHESDA,MD,UNITED STATES,2,"$9,353,702"
"ABZYME THERAPEUTICS, LLC",POTTSTOWN,PA,UNITED STATES,3,"$1,211,359"
"ACADEMIC PHARMACEUTICALS, INC.",LAKE BLUFF,IL,UNITED STATES,1,"$149,980"
