ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING,YEAR
"13THERAPEUTICS, INC.",PORTLAND,OR,UNITED STATES,3,"$1,294,742",2007
"20/20 GENESYSTEMS, INC.",ROCKVILLE,MD,UNITED STATES,2,"$283,218",2007
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,CARY,NC,UNITED STATES,2,"$753,589",2007
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,CARY,NC,UNITED STATES,3,"$757,244",2007
3M COMPANY,ST. PAUL,MN,UNITED STATES,1,"$3,286",2007
454 LIFE SCIENCES CORPORATION,BRANFORD,CT,UNITED STATES,1,"$586,688",2007
"A AND G PHARMACEUTICAL, INC.",COLUMBIA,MD,UNITED STATES,1,"$120,600",2007
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,UNITED STATES,1,"$209,736",2007
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,11,"$4,886,152",2007
"ABACUS-N-BYTES, INC.",WHEATON,MD,UNITED STATES,1,"$13,590",2007
ABERDEEN AREA TRIBAL CHAIRMEN'S HLTH BRD,RAPID CITY,SD,UNITED STATES,1,"$462,450",2007
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,1,"$99,312",2007
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,2,"$862,772",2007
"ABLELINK TECHNOLOGIES, INC.",COLORADO SPRINGS,CO,UNITED STATES,2,"$475,001",2007
"ABOUT WEB, LLC",ROCKVILLE,MD,UNITED STATES,2,"$629,146",2007
"ABQMR, INC.",ALBUQUERQUE,NM,UNITED STATES,1,"$167,183",2007
"ABT ASSOCIATES, INC.",CAMBRIDGE,MA,UNITED STATES,1,"$321,125",2007
"AC TECHNOLOGIES, INC.",FAIRFAX,VA,UNITED STATES,2,"$2,480,530",2007
"ACADEMIC EDGE, INC.",BLOOMINGTON,IN,UNITED STATES,2,"$630,742",2007
ACADEMY FOR EDUCATIONAL DEVELOPMENT,WASHINGTON,DC,UNITED STATES,3,"$3,096,668",2007
ACADEMY OF SCIENCES OF CZECH REPUBLIC,PRAGUE 4,NA,CZECH REPUBLIC,1,"$51,202",2007
ACADEMYHEALTH,WASHINGTON,DC,UNITED STATES,1,"$376,881",2007
"ACCACIA INTERNATIONAL, INC.",AUSTIN,TX,UNITED STATES,1,"$149,944",2007
"ACCACIA INTERNATIONAL, INC.",AUSTIN,TX,UNITED STATES,1,"$672,066",2007
"ACCELRYS, INC.",SAN DIEGO,CA,UNITED STATES,1,"$9,853",2007
"ACCENT MEDIA PRODUCTION, INC.",MC LEAN,VA,UNITED STATES,1,"$491,510",2007
"ACCESSIBLE DESIGNS, INC.",SAN ANTONIO,TX,UNITED STATES,1,"$99,992",2007
"ACELOT, INC.",SANTA BARBARA,CA,UNITED STATES,1,"$223,300",2007
"ACENTA DISCOVERY, INC.",TUCSON,AZ,UNITED STATES,3,"$821,468",2007
"ACES-RESEARCH, LLC",ITHACA,NY,UNITED STATES,1,"$99,986",2007
ACOUSTX CORPORATION,SEATTLE,WA,UNITED STATES,1,"$162,281",2007
"ACTIVESITE PHARMACEUTICALS, INC.",BERKELEY,CA,UNITED STATES,1,"$224,868",2007
"ACUCELA, INC.",Bothell,WA,UNITED STATES,2,"$199,295",2007
ACULIGHT CORPORATION,BOTHELL,WA,UNITED STATES,2,"$774,895",2007
"ACUMEN, LLC",BURLINGAME,CA,UNITED STATES,3,"$712,425",2007
"ADA TECHNOLOGIES, INC.",LITTLETON,CO,UNITED STATES,3,"$653,685",2007
"ADA TECHNOLOGIES, INC.",LITTLETON,CO,UNITED STATES,1,"$145,229",2007
ADDICTION RESEARCH AND TREATMENT CORP,NEW YORK,NY,UNITED STATES,1,"$208,585",2007
"ADELPHI TECHNOLOGY, INC.",SAN CARLOS,CA,UNITED STATES,1,"$372,758",2007
