"Gross domestic product (GDP) by state (millions of current dollars)"
"Levels" 
"Bureau of Economic Analysis" 
"All industry total"
"Fips","Area","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"00000","United States",14391149,14626598,14320114,14859772,15406002,16041243,16576738,17312308,18007206,18509998,19263350
"01000","Alabama",169923,172646,168315,174710,180665,185878,190319,193966,199804,204201,210954
"02000","Alaska",49197,55461,50463,54134,58759,60890,59808,58192,52448,50542,52789
"04000","Arizona",262045,256718,242509,245668,254192,264693,270469,281069,293318,304357,319850
"05000","Arkansas",97384,99838,98020,102951,107287,109226,114456,117953,119081,121275,124918
"06000","California",1956523,1983926,1912115,1965886,2036297,2131199,2223892,2358920,2510167,2619639,2746873
"08000","Colorado",245949,254784,247270,253374,262719,272799,286835,305456,315621,323762,342748
"09000","Connecticut",236640,238211,233562,234528,234233,239462,240975,244612,253467,257038,260827
"10000","Delaware",56968,55293,57350,57471,59937,60628,61109,66298,69893,70927,73541
"11000","District of Columbia",92846,97372,98415,103831,107738,109685,111890,116400,121688,125871,131010
"12000","Florida",769817,748320,721755,735098,741455,764136,794644,834123,890884,930375,967337
"13000","Georgia",417700,411866,404575,412485,424126,439058,454238,479138,505693,532657,554269
"15000","Hawaii",65210,66692,65382,68225,70017,72532,74630,77035,81900,84904,88136
"16000","Idaho",54507,55853,53882,55258,56744,58105,60854,63309,65670,68616,71886
"17000","Illinois",646665,642698,638032,653476,679776,711370,721876,751333,778353,796906,820362
"18000","Indiana",270245,273475,262068,282259,291570,299996,311150,326049,333436,345207,359122
"19000","Iowa",137598,137741,137069,141697,148843,158246,162305,171406,180511,186200,190191
"20000","Kansas",122498,128108,123986,128542,136884,140964,143471,148368,151677,154806,157797
"21000","Kentucky",155441,158847,156319,165974,171835,177046,181135,185843,190832,195527,202507
"22000","Louisiana",209455,218781,210879,232596,236248,241378,234608,243647,242059,237598,246264
"23000","Maine",49452,49949,50405,51456,51490,52580,53348,55456,57242,59475,61404
"24000","Maryland",286687,294564,300929,313952,324830,332500,339443,351047,365162,380805,393632
"25000","Massachusetts",378864,385445,385698,402652,417283,434098,442090,459774,490402,505689,527455
"26000","Michigan",401522,384270,363146,385021,399437,416701,429644,445253,470289,486874,504967
"27000","Minnesota",258917,264299,258166,269937,282397,292920,304063,317648,326221,338746,351113
"28000","Mississippi",91422,97134,93669,95810,96968,101351,103523,104570,106207,109034,111707
"29000","Missouri",240613,250088,250436,255865,257225,266245,275911,282535,291764,297074,304898
"30000","Montana",35947,36917,36079,38375,41187,42349,43229,45101,46179,46478,48098
"31000","Nebraska",81926,84873,86961,92231,99935,101973,106765,112170,116111,118945,121774
"32000","Nevada",132167,128363,120202,121713,124445,125440,128205,133071,142081,148216,156313
"33000","New Hampshire",61370,61442,62205,64159,65214,66948,68558,71302,75162,77843,80516
"34000","New Jersey",480912,491855,482143,489130,493343,514662,531072,542774,563616,576228,591743
"35000","New Mexico",80896,86318,82838,86079,89261,90146,90834,94579,92987,93242,97090
"36000","New York",1114698,1113446,1148407,1204688,1229743,1301041,1330236,1391549,1458253,1500152,1547116
"37000","North Carolina",397063,415095,407846,416008,427974,438350,454945,475282,502077,518378,538291
"38000","North Dakota",28887,32495,32489,36202,42164,52493,54965,59518,56253,53328,55493
"39000","Ohio",492925,492745,479526,498989,528567,550299,564683,595299,611350,624372,649127
"40000","Oklahoma",145693,156398,143648,149913,163868,174305,186007,198636,189612,181480,189160
"41000","Oregon",170941,180934,181022,191120,199929,196973,196594,202116,215940,227032,236219
"42000","Pennsylvania",559876,579432,573964,596662,615411,637896,659792,685695,709722,723962,752071
"44000","Rhode Island",48044,47343,47709,49351,49716,50997,52187,53748,56197,57507,59458
"45000","South Carolina",160145,162266,160439,164106,170193,174567,181556,191149,202807,210876,219093
"46000","South Dakota",35165,37246,36687,38176,42253,43056,44560,45641,47231,48652,49928
"47000","Tennessee",243001,249052,246541,252478,263175,278298,288012,298803,317325,332094,345218
"48000","Texas",1179214,1243387,1166516,1243398,1344733,1437893,1536472,1612973,1611958,1601517,1696206
"49000","Utah",115982,116117,113194,117714,124031,128018,133274,141090,149515,157404,165526
"50000","Vermont",24848,25467,25527,26633,27676,28195,28690,29420,30299,31292,32197
"51000","Virginia",392553,398817,407302,420862,429174,441144,449235,459242,479669,491221,508662
"53000","Washington",345971,354210,348465,359694,370149,388922,405561,427242,453186,476934,506353
"54000","West Virginia",58873,62581,63866,67255,70945,70969,72082,73731,72583,72569,76794
"55000","Wisconsin",243632,244546,244995,252875,262463,272420,281569,291258,303826,314247,324061
"56000","Wyoming",36331,42872,37129,39103,41499,40201,40968,41521,39474,37925,40286
"Legend / Footnotes:"
"1/ The private goods-producing industries consist of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2/ The private services-producing industries consist of utilities; wholesale trade; retail trade; transportation and warehousing, excluding Postal Service; information; finance and insurance; real estate, rental, and leasing; professional, scientific, and technical services; management of companies; administrative and support and waste management and remediation services; educational services; health care and social assistance; arts, entertainment, and recreation; accommodation and food services; and other services (except government and government enterprises)."
"Note-- NAICS Industry detail is based on the 2007 North American Industry Classification System (NAICS)."
"Note-- Per capita real GDP statistics for 2010-2017 reflect Census Bureau midyear population estimates available as of December 2017."
"Last updated: May 4, 2018 -- new statistics for 2017; revised statistics for 2010-2016."
